id	username	email	name	lastname	address	friends_list
1	Desiree.H	Desiree  .Hosea  @gmail.com	Desiree  	Hosea  	777 Brockton Avenue, Abington MA 2351	25,13,7
2	Tamatha .Y	Tamatha  .Yanira  @gmail.com	Tamatha  	Yanira  	30 Memorial Drive, Avon MA 2322	-1
3	Edyth.M  	Edyth  .Mathilda  @gmail.com	Edyth  	Mathilda  	250 Hartford Avenue, Bellingham MA 2019	-1
4	Justina.D	Justina  .Delisa  @gmail.com	Justina  	Delisa  	700 Oak Street, Brockton MA 2301	-1
5	Maurine.A	Maurine  .Alicia  @gmail.com	Maurine  	Alicia  	66-4 Parkhurst Rd, Chelmsford MA 1824	-1
6	Juana.A	Juana  .Albertine  @gmail.com	Juana  	Albertine  	591 Memorial Dr, Chicopee MA 1020	8,2
7	Henry.D	Henry  .Duncan  @gmail.com	Henry  	Duncan  	55 Brooksby Village Way, Danvers MA 1923	18,26,21,17,15
8	Solomon.E	Solomon  .Earlean  @gmail.com	Solomon  	Earlean  	137 Teaticket Hwy, East Falmouth MA 2536	-1
9	Felice.A	Felice  .Arica  @gmail.com	Felice  	Arica  	42 Fairhaven Commons Way, Fairhaven MA 2719	-1
10	Aliza.M	Aliza  .Marcelina  @gmail.com	Aliza  	Marcelina  	374 William S Canning Blvd, Fall River MA 2721	-1
11	Brittni.J	Brittni  .Jocelyn  @gmail.com	Brittni  	Jocelyn  	121 Worcester Rd, Framingham MA 1701	-1
12	Lilliana.E	Lilliana  .Elenor  @gmail.com	Lilliana  	Elenor  	677 Timpany Blvd, Gardner MA 1440	-1
13	Kandace.K	Kandace  .Karen  @gmail.com	Kandace  	Karen  	337 Russell St, Hadley MA 1035	-1
14	Luke.S	Luke  .Soon  @gmail.com	Luke  	Soon  	295 Plymouth Street, Halifax MA 2338	-1
15	Pete.H	Pete  .Hollie  @gmail.com	Pete  	Hollie  	1775 Washington St, Hanover MA 2339	-1
16	Sumiko_L	Sumiko  .Lulu  @gmail.com	Sumiko  	Lulu  	280 Washington Street, Hudson MA 1749	15,19,8,23
17	Sparkle.N	Sparkle  .Nobuko  @gmail.com	Sparkle  	Nobuko  	20 Soojian Dr, Leicester MA 1524	-1
18	Alanna.L	Alanna  .Lilli  @gmail.com	Alanna  	Lilli  	11 Jungle Road, Leominster MA 1453	-1
19	Celia.E	Celia  .Edison  @gmail.com	Celia  	Edison  	301 Massachusetts Ave, Lunenburg MA 1462	-1
20	Erwin.C	Erwin  .Chance  @gmail.com	Erwin  	Chance  	780 Lynnway, Lynn MA 1905	-1
21	Lisbeth.A	Lisbeth  .Antoine  @gmail.com	Lisbeth  	Antoine  	70 Pleasant Valley Street, Methuen MA 1844	-1
22	Harlan.A	Harlan  .Agueda  @gmail.com	Harlan  	Agueda  	830 Curran Memorial Hwy, North Adams MA 1247	-1
23	Damion.V	Damion  .Verdell  @gmail.com	Damion  	Verdell  	1470 S Washington St, North Attleboro MA 2760	-1
24	Maira.T	Maira  .Treva  @gmail.com	Maira  	Treva  	506 State Road, North Dartmouth MA 2747	-1
25	Dane.T	Dane  .Taunya  @gmail.com	Dane  	Taunya  	742 Main Street, North Oxford MA 1537	-1
26	Ivy3M	Ivy  .Marjorie  @gmail.com	Ivy  	Marjorie  	72 Main St, North Reading MA 1864	-1
27	Shin.J	Shin  .Jesse  @gmail.com	Shin  	Jesse  	200 Otis Street, Northborough MA 1532	-1
28	Bradley.N	Bradley  .Nu  @gmail.com	Bradley  	Nu  	180 North King Street, Northhampton MA 1060	-1
29	Garland.B	Garland  .Ben  @gmail.com	Garland  	Ben  	555 East Main St, Orange MA 1364	-1
30	Iva.L	Iva  .Lanora  @gmail.com	Iva  	Lanora  	555 Hubbard Ave-Suite 12, Pittsfield MA 1201	-1
